HIP 677,Alpheratz,Alpha Andromedae
HIP 746,Caph,Beta Cassiopeiae
HIP 2081,Ankaa,Aplha Phoenicis
HIP 3179,Schedar,Alpha Cassiopeiae
HIP 3419,Diphda,Beta Ceti
HIP 4427,G Cas,Gamma Cassiopeiae
HIP 5447,Mirach,Beta Andromedae
HIP 7588,Achenar,Alpha Eridani
HIP 9640,Almach,Gamma Andromedae
HIP 9884,Hamal,Alpha Arietis
HIP 11767,Polaris,Alpha Ursae Minoris
HIP 14576,Algol,Beta Persei
HIP 15863,Mirphak,Alpha Persei
HIP 21421,Aldebaran,Alpha Tauri
HIP 24436,Rigel,Beta Orionis
HIP 24608,Capella,Alpha Aurigae
HIP 25336,Bellatrix,Gamma Orionis
HIP 25428,Alnath,Beta Tauri
HIP 25930,Mintaka,Delta Orionis
HIP 26311,Alnilam,Epsilon Orionis
HIP 26727,Alnitak,Zeta Orionis
HIP 27366,Saiph,Kappa Orionis
HIP 27989,Betelgeuse,Alpha Orionis
HIP 28360,Menkalinan,Beta Aurigae
HIP 30324,Mirza,Beta Canis Majoris
HIP 30438,Canopus,Alpha Carinae
HIP 31681,Alhena,Gamma Geminorum
HIP 32349,Sirius,Alpha Canis Majoris
HIP 33579,Adhara,Epsilon Canis Majoris
HIP 34444,Delta CMa,Delta Canis Majoris
HIP 35904,Aludra,Eta Canis Majoris
HIP 36850,Castor,Alpha Geminorum
HIP 37279,Procyon,Alpha Canis Minoris
HIP 37826,Pollux,Beta Geminorum
HIP 39429,Naos,Zeta Puppis
HIP 39953,Gamma Vel,Gamma Velorum
HIP 41037,Avior,Epsilon Carinae
HIP 42913,Delta Vel,Delta Velorum
HIP 44816,Lambda Vel,Lambda Velorum
HIP 45238,Beta Car,Beta Carinae
HIP 45556,Iota Car,Iota Carinae
HIP 45941,Kappa Vel,Kappa Velorum
HIP 46390,Alphard,Alpha Hydrae
HIP 49669,Regulus,Alpha Leonis
HIP 50583,Algieba,Gamma Leonis
HIP 53910,Merak,Beta Ursae Majoris
HIP 54061,Dubhe,Alpha Ursae Majoris
HIP 57632,Denebola,Beta Leonis
HIP 58001,Phad,Gamma Ursae Majoris
HIP 60718,Acrux,Alpha Crucis
HIP 61084,Gacrux,Gamma Crucis
HIP 61932,Muhlifain,Gamma Centauri
HIP 62434,Becrux,Beta Crucis
HIP 62956,Alioth,Epsilon Ursae Majoris
HIP 65378,Mizar,Zeta Ursae Majoris
HIP 65474,Spica,Alpha Virginis
HIP 66657,Epsilon Cen,Epsilon Centauri
HIP 67301,Alkaid,Eta Ursae Majoris
HIP 68702,Agena, Beta Centauri
HIP 68933,Theta Cen, Theta Centauri
HIP 69673,Arcturus, Alpha Bootis
HIP 71352,Eta Cen, Eta Centauri
HIP 71681,Alpha Cen B ,Alpha Centauri B
HIP 71683,Alpha Cen A,Alpha Centauri A
HIP 71860,Alpha Lup,Alpha Lupi
HIP 72105,Izar,Epsilon Bootis
HIP 72607,Kochab, Beta Ursae Minoris
HIP 76267,Gemma, Alpha Coronae Borealis
HIP 78401,Dschuba, Delta Scorpii
HIP 80763,Antares, Alpha Scorpii
HIP 82273,Atria, Alpha Trianguli Australis
HIP 82396,Epsilon Sco, Epsilon Scorpii
HIP 84012,Sabik, Eta Ophiuchi
HIP 85927,Shaula, Lambda Scorpii
HIP 86032,Rasalhague, Alpha Ophiuchi
HIP 86228,Sargas, Thega Scorpii
HIP 86670,Kappa Sco, Kappa Scorpii
HIP 87833,Etamin, Gamma Draconis
HIP 90185,Epsilon Sag, Epsilon Sagittarii
HIP 91262,Vega, Alpha Lyrae
HIP 92855,Nunki, Sigma Sagittarii
HIP 97649,Altair, Alpha Aquillae
HIP 100453,Sadr, Gamma Cygni
HIP 100751,Peacock, Alpha Pavonis
HIP 102098,Deneb, Alpha Cygni
HIP 102488,Gienah, Epsilon Cygni
HIP 105199,Alderamin, Alpha Cephei
HIP 107315,Enif, Epsilon Pegasi
HIP 109268,Alpha Gru, Alpha Gruis
HIP 112122,Beta Gru, Beta Gruis
HIP 113368,Fomalhaut, Alpha Piscis Austrini
HIP 113881,Scheat, Beta Pegasi
HIP 113963,Markab, Alpha Pegasi
